Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Emerald Solar Farm,198.978063,71.15922858,84.96674495,75847215.43,244.4712826,68011445.37,7835770.052,,274.9109775,38.14426953,83.2513418,75097935.87,242.0561994,68011993.62,7085942.251,,75.9329145,-33.01495904,-1.715403156,-749279.5521,-2.415083165,548.248479,-749827.8005
Ross River Solar Farm ,302.7547302,6.363628921,68.45651894,61707976.2,198.8975865,58777846.12,2930130.074,,302.752004,6.365317324,68.45485708,61708232.61,198.8984129,58777562.62,2930669.986,,-0.002726253,0.001688403,-0.001661859,256.4105481,0.000826464,-283.5011826,539.9117308
Childers Solar Farm,305.0408572,13.03159754,90.398925,74378690.73,239.7379234,66479027.05,7899663.679,,304.8654252,12.98625223,90.72965874,74376707.4,239.7315307,66525165.08,7851542.324,,-0.175432005,-0.045345303,0.330733737,-1983.323297,-0.006392662,46138.031,-48121.3543
Haughton Solar Farm,298.4746829,3.1232224,72.02245142,62291887.84,200.7796546,58162796.8,4129091.036,,298.0230231,3.077583325,73.06682753,62280308.58,200.7423322,58350253.57,3930055.008,,-0.451659831,-0.045639076,1.044376109,-11579.2571,-0.037322344,187456.7717,-199036.0288
Cattle Hill Wind Farm ,319.3118301,62.03736272,136.3503475,101990041,328.7350233,94017388.41,7972652.58,,319.8467387,61.8436636,135.8702134,101976491.4,328.6913501,93912061.09,8064430.279,,0.534908693,-0.193699118,-0.480134065,-13549.61858,-0.043673227,-105327.3179,91777.69934
Granville Harbour Wind Farm,377.5155738,32.83700478,132.4049416,102132291.9,329.1935273,92233310.67,9898981.181,,362.8038924,32.61435618,141.433986,101964199.5,328.6517307,92480344.04,9483855.42,,-14.71168136,-0.222648597,9.02904442,-168092.3906,-0.541796585,247033.3702,-415125.7607
"Huxley Wind Farm, King Island",287.0069338,53.83408546,200.2163972,110281783.4,355.4610264,103294245.6,6987538.185,,286.7965067,53.80666724,200.3656804,110282638.8,355.4637833,103295768.4,6986870.308,,-0.210427061,-0.027418221,0.149283226,855.329017,0.002756903,1522.807039,-667.8772766
Musselroe Wind Farm,277.5344992,50.37376385,121.6443492,82217410.74,265.0037413,81468663.45,748747.2895,,277.9523959,51.14787495,120.9639399,82199198.2,264.9450385,81578678.44,620519.7527,,0.417896755,0.774111092,-0.680409352,-18212.54166,-0.058702793,110014.9951,-128227.5368
Studland Bay Wind Farm ,420.8078271,21.79477317,119.1837268,97907571.33,315.5763782,91439825.03,6467746.301,,420.1324838,20.99712847,120.0506063,97889131.36,315.5169423,91335530.32,6553601.045,,-0.675343275,-0.797644694,0.866879475,-18439.97473,-0.059435857,-104294.7181,85854.74336
Sample data,250.9331518,56.64768328,139.222678,87277246.31,281.3126392,84163379,3113867.311,,250.9326541,56.64838683,139.1433132,87276470.55,281.3101387,84143745.51,3132725.038,,-0.000497698,0.000703558,-0.079364793,-775.764455,-0.002500449,-19633.49081,18857.72636
Northern Midland Solar Farm,303.33204,71.64007596,130.5490239,98023525.64,315.9501229,93251928.71,4771596.936,,314.4774468,68.74544943,124.8808284,97992675.99,315.8506881,92468476.47,5524199.521,,11.14540682,-2.894626521,-5.668195522,-30849.64933,-0.099434808,-783452.2349,752602.5856
Weasel Solar Farm ,385.1926889,49.3127349,126.0603996,108950571.2,351.1702536,96441609.62,12508961.56,,379.9235978,49.90367001,125.7729425,108948927.7,351.1649564,95847326.03,13101601.71,,-5.269091094,0.590935112,-0.287457143,-1643.447794,-0.005297173,-594283.5892,592640.1414
Bell Bay Solar Farm,285.1551706,61.0069326,119.2975796,92691487.89,298.763861,84971236.99,7720250.899,,285.1547202,61.00816965,119.2954212,92691467.7,298.763796,84970998.68,7720469.022,,-0.000450331,0.001237046,-0.002158383,-20.1830764,-6.50542E-05,-238.3061598,218.1230834
King Island Solar Farm  ,287.0069338,53.83408546,200.2163972,110281783.4,355.4610264,103294245.6,6987538.185,,286.7965067,53.80666724,200.3656804,110282638.8,355.4637833,103295768.4,6986870.308,,-0.210427061,-0.027418221,0.149283226,855.329017,0.002756903,1522.807039,-667.8772766
Woakwine Wind farm,341.015753,40.14396519,114.8608516,85974518.59,277.113678,85173827.14,800691.449,,339.7312919,40.20685411,115.5318431,85923846.55,276.9503515,85190040.34,733806.2105,,-1.284461192,0.062888915,0.670991531,-50672.03949,-0.163326477,16213.19901,-66885.2385
Robertstown Solar Project,291.150892,28.32487314,124.5851826,82358896.6,265.4597795,77601010.3,4757886.303,,292.7353081,28.01295382,124.0405076,82356554.44,265.4522303,77583560.65,4772993.791,,1.584416073,-0.311919315,-0.54467499,-2342.165247,-0.007549284,-17449.65334,15107.4881
Goyder South Hybrid Renewable Power Station,269.4837333,21.34363572,123.8934084,77744848.49,250.5877469,72550283.25,5194565.242,,269.4471096,21.35988922,123.9212412,77738973.86,250.5688118,72557106.43,5181867.433,,-0.036623697,0.016253493,0.027832811,-5874.626817,-0.018935139,6823.181679,-12697.8085
Cleve Wind Farm,247.7075433,31.13443079,122.2334481,76046401.35,245.1133001,72107604.5,3938796.854,,243.9045307,31.38283629,123.8616461,76022491.22,245.0362328,72084343.64,3938147.577,,-3.803012611,0.248405496,1.628198032,-23910.13274,-0.077067309,-23260.85522,-649.2775151
Yoorndoo Ilga Solar,213.418321,23.67632705,155.4308772,75043861.31,241.8819059,73698781.29,1345080.022,,191.9976238,33.35682736,127.1815074,74358612.84,239.6732082,66646789.36,7711823.483,,-21.42069726,9.680500309,-28.24936983,-685248.4663,-2.208697716,-7051991.927,6366743.461
Bodangora Wind Farm ,414.5161751,29.04871749,90.76694958,98964679.74,318.9836575,85635226.25,13329453.48,,412.8221224,29.27246436,91.60521777,98953872.69,318.9488241,85685808.45,13268064.23,,-1.694052665,0.223746873,0.83826819,-10807.05124,-0.034833364,50582.19991,-61389.25115
Sapphire Wind Farm,241.0499475,43.37314527,92.93949351,67829678.13,218.6290995,67481776.21,347901.919,,241.0713946,43.3302719,92.97880314,67829201.34,218.6275627,67481961.71,347239.6274,,0.021447119,-0.042873371,0.039309631,-476.7863689,-0.001536781,185.5053103,-662.2916792
Metz Solar Farm ,259.2325128,65.26948666,97.61073619,82384332.19,265.5417637,77390049.51,4994282.684,,259.4172265,65.34842035,97.33321838,82393506.65,265.5713349,77368131.68,5025374.973,,0.184713743,0.078933695,-0.277517803,9174.456648,0.029571174,-21917.83199,31092.28864
Bullawah Wind Farm,392.9254168,30.62864051,108.7039616,90925914.83,293.0730534,87718100.77,3207814.063,,392.9305052,30.62850296,108.7024366,90925884.14,293.0729545,87718351.19,3207532.954,,0.005088392,-0.000137544,-0.001525036,-30.6928148,-9.89293E-05,250.4161672,-281.1089819
Sunraysia Solar Farm,410.9411445,16.4188293,130.3131192,98127943.4,316.286683,91353913.81,6774029.588,,409.7049964,16.3301504,130.8556543,98116998.91,316.2514066,91300536.5,6816462.405,,-1.236148024,-0.088678898,0.542535062,-10944.49186,-0.035276364,-53377.30947,42432.81761
Hunter Coast Offshore Wind Project (proposed) ,219.7820722,79.73296325,146.5805174,89360706.12,288.0280616,88587625.82,773080.2979,,220.2073327,80.2506832,144.703497,89342649.36,287.969861,88326152.8,1016496.566,,0.425260547,0.517719958,-1.877020449,-18056.7542,-0.058200658,-261473.0218,243416.2676
Muswellbrook Solar Farm ,336.3751664,48.86420142,132.4449737,96722314.18,311.7560489,91471993.74,5250320.438,,339.2881251,48.70840513,131.364057,96721800.95,311.7543947,91541216.9,5180584.05,,2.91295871,-0.155796286,-1.080916734,-513.2260892,-0.001654234,69223.16241,-69736.3885
Wollongong Offshore Wind Project (proposed),246.581101,104.2040074,126.8601259,100618697,324.3148977,94300831.46,6317865.545,,246.5804061,104.2049137,126.8599389,100618601.3,324.3145893,94300956.19,6317645.157,,-0.000694885,0.000906375,-0.000186965,-95.660772,-0.000308334,124.7272606,-220.3880328
Shoalhaven Solar Farm ,288.9832859,96.48934028,140.9514278,107963871.2,347.9899153,101159346.9,6804524.38,,288.5630415,96.520899,140.999891,107958674.2,347.9731642,101125218.3,6833455.845,,-0.4202444,0.03155872,0.048463215,-5197.048508,-0.016751164,-34128.51305,28931.46455
