base_year,location,data_year,total_deficit_mwh,deficit_hours,total_gen_mwh,avg_storage_mwh
2019,Childers Solar Farm,2021,2179.11,40,533060.92,349.07
2019,Childers Solar Farm,2022,5043.3,87,527039.45,342.26
2019,Childers Solar Farm,2023,854.39,21,547362.96,358.14
2019,Childers Solar Farm,2024,899.26,18,531912.3,351.8
2019,Haughton Solar Farm,2019,109.2,8,584640.5,285.09
2019,Haughton Solar Farm,2020,227.83,14,575700.59,282.67
2019,Haughton Solar Farm,2021,1002.31,27,553100.03,278.41
2019,Haughton Solar Farm,2022,899.4,22,555479.5,280.87
2019,Haughton Solar Farm,2023,297.72,13,574473.87,281.93
2019,Haughton Solar Farm,2024,507.93,17,565324.5,282.85
2019,Cattle Hill Wind Farm ,2019,92.92,4,611870.59,518.6
2019,Cattle Hill Wind Farm ,2020,5774.03,121,561001.2,477.89
2019,Cattle Hill Wind Farm ,2021,7652.35,143,576566.1,488.26
2019,Cattle Hill Wind Farm ,2022,5259.16,109,543851.71,465.79
2019,Cattle Hill Wind Farm ,2023,2720.34,57,588213.54,511.41
2019,Cattle Hill Wind Farm ,2024,5375.53,115,590686.64,482.0
2019,Granville Harbour Wind Farm,2019,726.02,15,705151.79,548.1
2019,Granville Harbour Wind Farm,2020,1541.85,33,667428.2,525.81
2019,Granville Harbour Wind Farm,2021,3661.95,79,681335.09,526.53
2019,Granville Harbour Wind Farm,2022,1054.24,23,670367.84,534.3
2019,Granville Harbour Wind Farm,2023,1433.66,24,684731.49,548.61
2019,Granville Harbour Wind Farm,2024,1520.1,29,683754.97,527.18
2019,"Huxley Wind Farm, King Island",2019,225.3,6,682873.08,528.07
2019,"Huxley Wind Farm, King Island",2020,986.74,25,659898.48,514.47
2019,"Huxley Wind Farm, King Island",2021,1433.28,34,676276.8,517.79
2019,"Huxley Wind Farm, King Island",2022,1832.42,41,662947.3,511.8
2019,"Huxley Wind Farm, King Island",2023,509.11,7,679944.25,532.57
2019,"Huxley Wind Farm, King Island",2024,2972.27,64,673551.79,513.07
2019,Musselroe Wind Farm,2019,154.29,6,592769.1,528.99
2019,Musselroe Wind Farm,2020,4787.79,94,546150.79,485.61
2019,Musselroe Wind Farm,2021,5344.22,99,564509.39,503.97
2019,Musselroe Wind Farm,2022,5162.79,97,530677.48,479.9
2019,Musselroe Wind Farm,2023,1124.39,25,569165.79,524.08
2019,Musselroe Wind Farm,2024,1820.91,38,566460.06,506.92
2019,Studland Bay Wind Farm ,2019,240.99,4,687777.27,381.11
2019,Studland Bay Wind Farm ,2020,3211.13,62,653279.99,364.46
2019,Studland Bay Wind Farm ,2021,3812.66,80,677156.73,363.6
2019,Studland Bay Wind Farm ,2022,1135.79,28,672239.98,369.63
2019,Studland Bay Wind Farm ,2023,927.3,19,685120.08,380.35
2019,Studland Bay Wind Farm ,2024,1751.04,37,684852.98,375.6
2019,Sample data,2019,410.08,8,663824.78,455.54
2019,Sample data,2020,3403.25,69,610354.47,428.49
2019,Sample data,2021,4309.98,80,633976.57,435.39
2019,Sample data,2022,3165.46,64,599460.82,425.56
2019,Sample data,2023,1278.32,25,641648.81,450.87
2019,Sample data,2024,1462.71,29,638637.01,443.19
2019,Northern Midland Solar Farm,2019,326.38,6,687305.32,432.74
2019,Northern Midland Solar Farm,2020,5379.11,107,627903.32,402.9
2019,Northern Midland Solar Farm,2021,6468.67,122,652771.18,407.66
2019,Northern Midland Solar Farm,2022,4644.54,106,616159.41,400.86
2019,Northern Midland Solar Farm,2023,2859.59,56,665679.57,424.09
2019,Northern Midland Solar Farm,2024,3100.76,62,669344.19,411.87
2019,Weasel Solar Farm ,2019,284.14,8,680995.46,385.33
2019,Weasel Solar Farm ,2020,5342.78,110,619554.36,359.64
2019,Weasel Solar Farm ,2021,6054.49,110,638826.62,366.24
2019,Weasel Solar Farm ,2022,4313.22,84,592384.97,358.87
2019,Weasel Solar Farm ,2023,2111.09,43,651512.06,381.3
2019,Weasel Solar Farm ,2024,5033.26,109,649803.5,358.49
2019,Bell Bay Solar Farm,2019,276.07,6,664137.41,491.73
2019,Bell Bay Solar Farm,2020,3403.09,66,608855.84,464.98
2019,Bell Bay Solar Farm,2021,4500.71,90,638108.7,464.58
2019,Bell Bay Solar Farm,2022,1837.98,42,610131.02,467.57
2019,Bell Bay Solar Farm,2023,1888.66,39,647252.54,487.61
2019,Bell Bay Solar Farm,2024,971.25,20,653635.88,480.35
2019,King Island Solar Farm  ,2019,225.3,6,682873.08,528.07
2019,King Island Solar Farm  ,2020,986.74,25,659898.48,514.47
2019,King Island Solar Farm  ,2021,1433.28,34,676276.8,517.79
2019,King Island Solar Farm  ,2022,1832.42,41,662947.3,511.8
2019,King Island Solar Farm  ,2023,509.11,7,679944.25,532.57
2019,King Island Solar Farm  ,2024,2972.27,64,673551.79,513.07
2019,Woakwine Wind farm,2019,175.94,7,835089.86,464.22
2019,Woakwine Wind farm,2020,754.59,16,815223.27,456.96
2019,Woakwine Wind farm,2021,606.68,16,836254.17,460.92
2019,Woakwine Wind farm,2022,443.98,14,810814.8,454.85
2019,Woakwine Wind farm,2023,667.59,16,843097.39,461.49
2019,Woakwine Wind farm,2024,288.5,9,813933.32,463.62
2019,Robertstown Solar Project,2019,157.66,7,663601.97,292.47
2019,Robertstown Solar Project,2020,1040.61,28,636816.38,287.13
2019,Robertstown Solar Project,2021,329.7,12,647376.63,289.74
2019,Robertstown Solar Project,2022,1013.43,25,619640.07,287.1
2019,Robertstown Solar Project,2023,1692.07,41,649385.05,288.94
2019,Robertstown Solar Project,2024,1736.13,42,642294.01,285.9
2019,Goyder South Hybrid Renewable Power Station,2019,49.19,4,662486.11,302.39
2019,Goyder South Hybrid Renewable Power Station,2020,1077.11,27,635768.39,296.78
2019,Goyder South Hybrid Renewable Power Station,2021,226.05,11,643169.35,300.3
2019,Goyder South Hybrid Renewable Power Station,2022,853.82,20,616851.12,296.52
2019,Goyder South Hybrid Renewable Power Station,2023,1734.18,36,646862.12,297.98
2019,Goyder South Hybrid Renewable Power Station,2024,1342.25,31,642481.34,296.35
2019,Cleve Wind Farm,2019,134.28,5,698100.73,325.03
2019,Cleve Wind Farm,2020,697.02,15,684992.76,322.62
2019,Cleve Wind Farm,2021,669.38,20,691243.25,325.47
2019,Cleve Wind Farm,2022,119.99,5,678256.99,324.1
2019,Cleve Wind Farm,2023,907.51,19,695762.05,323.07
2019,Cleve Wind Farm,2024,647.49,23,685919.16,324.41
2019,Yoorndoo Ilga Solar,2019,145.1,5,610131.02,300.33
2019,Yoorndoo Ilga Solar,2020,1167.78,31,595900.86,293.79
2019,Yoorndoo Ilga Solar,2021,682.4,24,596193.95,295.49
2019,Yoorndoo Ilga Solar,2022,1215.47,31,582038.83,293.72
2019,Yoorndoo Ilga Solar,2023,1559.84,35,599415.67,295.73
2019,Yoorndoo Ilga Solar,2024,1139.41,31,589438.03,293.98
2019,Bodangora Wind Farm ,2019,136.4,8,638679.18,472.86
2019,Bodangora Wind Farm ,2020,934.91,20,603620.33,464.5
2019,Bodangora Wind Farm ,2021,963.69,19,613026.55,462.41
2019,Bodangora Wind Farm ,2022,1723.52,30,590712.23,458.01
2019,Bodangora Wind Farm ,2023,1250.12,22,626842.09,469.27
